"Date","Rating","Text"
"7/18/2022","3 star ","I just got my order which was somewhat wrong and gave me what I didn't order. Never told me I couldn't get all my order here and o will never order from here again!! I'm Italian from the north end of Boston and the food is ok but come on give me what I ordered the food is ok but not true Italian I'm from Sicily originally  born and raised in Boston north end little Italy my roots are Sicilian if this is Italian in San Antonio then your are very sad!!"
"11/27/2022","1 star ","So I ordered a Philly cheesesteak sandwich.  Let's start there.  The meat was good!   However, the picture you saw does over-justice.   The picture versus what you get are completely opposite.  The meal I got barely had a sliver of meat which tasted great but I spent 25 with tip for this which is absolutely horrible.  I'm done with ordering thru Uber eats and these fake news restaurant wannabes."
"12/1/2021","1 star ","I am really disappointed with my food. First my order took 1hr and 45 minutes rather than the 45 minutes to an hour like I was told. When I got my food the Chicken Parmasan was burnt and so were the garlic breads.  My Philly cheese steak was meaty but hardly any cheese in it and it was dry. I also ordered a Chicken Alfredo and that was about the only thing that was cooked to order.  Overall, I won't do another delivery from this place and I should have known better since they were soliciting their flyers at the hotel I was staying. The total was $43.07 for all three items and gave the guy $50.  What a complete waste. I called to make a complaint but they had already closed for the evening.I finally went on yelp and shooting myself in the foot for not reading the reviews b4 placing an order. It makes me wonder how a place like this is still able to stay open."
"9/9/2022","1 star ","This was horrific! I ordered the Pizza and pasta combo. They did give me what I ordered.I told them they gave me the wrong one and they started yelling and told me I already paid to I have to deal with it. I threw up and found out later I have food poisoning. I tried to sue but they told me I was being over dramatic."
"8/21/2022","1 star ","My roommate has been waiting for his pizza for over two hours.  He has tried calling them and was met with a total bitch who berated him for daring to ask how long his pizza would be.  I have been sitting outside with him for over an hour and called and asked on his behalf when the pizza would be done and the cunt answering the phone's response was, ""He keeps calling and I told Him that the driver had three orders.""  Guess what, three fucking deliveries do not take two+ hours. The woman manning the phones is incapable of being personable, which is sorry, considering that you can get a 16 year old with a better personality to deal with something so easy.I cannot believe this place is still in business."
"3/22/2022","1 star ","Absolute garbage. The food I received was so bad that it couldn't have been a mistake, it had to be a prank. I ordered a calzone that came with no meat, two pieces of spinach, no cheese, just a literal cup of garlic in a tiny calzone. My house reeks of garlic right now. We ordered three calzones and a salad. One of the other calzones was totally wrong, every ingredient. The other had chicken that tasted like it was taken out of the freezer and put in a microwave for two minutes. Nothing else arrived, no salad, no sauce, nothing. Never again."
"1/16/2022","5 star ","So they had this little menu slipped under our hotel contessa room and I've been trying to find it on Yelp the past several days I just couldn't remember the name but this is definitely it I remember the menu! And I'm blown away there's so many 1 star reviews. Obviously I believe it because I see the pictures but I have to give an honest review the pizza was amazing! We got pepperoni in one and pepperoni and mushroom in another, and a Pepsi. Delivery took 45-50 minutes but it was also 1AM. The guy who delivered was very nice and I only wish I had taken a picture of the pizza it was honestly really good ‍"
"11/16/2021","1 star ","There's a reason this place has one star. Y'all won't believe this lol. We ordered a pick-up order, they said it would be an hour+. We arrive there, and the guy working says the website had canceled our order, then asked if we wanted to REORDER AND PURCHASE AGAIN. Never was notified of a cancellation, a refund, nothing. I asked for proof on his end that said it was canceled, and he said it didn't say cancelation, that ""the orders just disappear."" We called customer service, and they informed us that they never canceled our order, and on their end it says our order was ready at the restaurant! So customer service calls the restaurant and asks wtf they are doing because our order was NOT cancelled, and guess what he told them??? ""We are having technical difficulties."" So two stories are happening, the guy at the restaurant is trying to scam us out of our money, and it was a hot mess. Anyways. This was stupid. Please don't go here."
"5/23/2022","5 star ","racist and rude staff dirty building no one's uses gloves or cleans restaurant customer service is absolutely trash and you would be lucky if people like this didnt spit In  your food and over charge your card just for fun updated to 5 stars because I don't want to hate you guys for ever. But I feel better knowing that no amount if 5 stars will help your rating but sad that your still in business and doing it badly"
"11/29/2017","1 star ","racist and rude staff dirty building no one's uses gloves or cleans restaurant customer service is absolutely trash and you would be lucky if people like this didnt spit In  your food and over charge your card just for fun"
