"month","year","unemployment","inflation"
"Oct",2002,5.7,"2.0"
"Nov",2002,5.9,"2.3"
"Dec",2002,6,"2.5"
"Jan",2003,5.8,"2.8"
"Feb",2003,5.9,"3.1"
"Mar",2003,5.9,"3.0"
"Apr",2003,6,"2.2"
"May",2003,6.1,"1.9"
"Jun",2003,6.3,"1.9"
"Jul",2003,6.2,"2.1"
"Aug",2003,6.1,"2.2"
"Sep",2003,6.1,"2.4"
"Oct",2003,6,"2.0"
"Nov",2003,5.8,"1.9"
"Dec",2003,5.7,"2.0"
"Jan",2004,5.7,"2.0"
"Feb",2004,5.6,"1.7"
"Mar",2004,5.8,"1.7"
"Apr",2004,5.6,"2.3"
"May",2004,5.6,"2.9"
"Jun",2004,5.6,"3.2"
"Jul",2004,5.5,"2.9"
"Aug",2004,5.4,"2.5"
"Sep",2004,5.4,"2.5"
"Oct",2004,5.5,"3.2"
"Nov",2004,5.4,"3.6"
"Dec",2004,5.4,"3.3"
"Jan",2005,5.3,"2.8"
"Feb",2005,5.4,"3.1"
"Mar",2005,5.2,"3.2"
"Apr",2005,5.2,"3.4"
"May",2005,5.1,"2.9"
"Jun",2005,5,"2.5"
"Jul",2005,5,"3.1"
"Aug",2005,4.9,"3.6"
"Sep",2005,5,"4.7"
"Oct",2005,5,"4.4"
"Nov",2005,5,"3.3"
"Dec",2005,4.9,"3.3"
"Jan",2006,4.7,"4.0"
"Feb",2006,4.8,"3.6"
"Mar",2006,4.7,"3.4"
"Apr",2006,4.7,"3.6"
"May",2006,4.6,"4.0"
"Jun",2006,4.6,"4.2"
"Jul",2006,4.7,"4.1"
"Aug",2006,4.7,"3.9"
"Sep",2006,4.5,"2.0"
"Oct",2006,4.4,"1.4"
"Nov",2006,4.5,"2.0"
"Dec",2006,4.4,"2.5"
"Jan",2007,4.6,"2.1"
"Feb",2007,4.5,"2.4"
"Mar",2007,4.4,"2.8"
"Apr",2007,4.5,"2.6"
"May",2007,4.4,"2.7"
"Jun",2007,4.6,"2.7"
"Jul",2007,4.7,"2.3"
"Aug",2007,4.6,"1.9"
"Sep",2007,4.7,"2.8"
"Oct",2007,4.7,"3.6"
"Nov",2007,4.7,"4.4"
"Dec",2007,5,"4.1"
"Jan",2008,5,"4.3"
"Feb",2008,4.9,"4.1"
"Mar",2008,5.1,"4.0"
